Stimulus;Initial group;Voice;CR/WR/V/Q;Textual agreement %;Audial agreement %;Textual agreement value;Audial agreement value;Experimental values (V-Neg/Q-Neg/C-Neg);Values;Experimental %;Experimental answer;Agrees with intended;Agrees with textual;Agrees with audial;Based on textual annotation, these are the groups
Activity;Q;1;WR;95%;42.85%;Q;N;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;1;WR;95%;62.50%;Q;N;V;7;24.14%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;1;WR;95%;62.50%;Q;N;Q;19;65.52%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;1;WR;95%;62.50%;Q;N;C;3;10.34%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;1;WR;90%;87.50%;Q;N;V;6;24.00%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;1;WR;90%;87.50%;Q;N;Q;18;72.00%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;1;WR;90%;87.50%;Q;N;C;1;4.00%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;1;WR;90%;75%;Q;N;V;4;13.33%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;1;WR;90%;75%;Q;N;Q;26;86.67%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;1;WR;90%;75%;Q;N;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;1;WR;100%;57.14%;Q;N;V;4;16.00%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;1;WR;100%;57.14%;Q;N;Q;21;84.00%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;1;WR;100%;57.14%;Q;N;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q
Consequences;Q;1;WR;75%;100%;Q;N;V;10;40.00%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Consequences;Q;1;WR;75%;100%;Q;N;Q;15;60.00%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Consequences;Q;1;WR;75%;100%;Q;N;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Nuances;Q;1;WR;75%;66.67%;Q;NG;V;14;45.16%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Nuances;Q;1;WR;75%;66.67%;Q;NG;Q;15;48.39%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Nuances;Q;1;WR;75%;66.67%;Q;NG;C;2;6.45%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Activity;Q;2;WR;95%;100%;Q;NG;V;3;11.11%;Q;Yes for intended;Yes for text;No for audio;Q
Activity;Q;2;WR;95%;100%;Q;NG;Q;24;88.89%;Q;Yes for intended;Yes for text;No for audio;Q
Activity;Q;2;WR;95%;100%;Q;NG;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;2;WR;95%;100%;Q;NG;V;5;22.73%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;2;WR;95%;100%;Q;NG;Q;16;72.73%;Q;Yes for intended;Yes for text;No for audio;Q
Examples;Q;2;WR;95%;100%;Q;NG;C;1;4.55%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;2;WR;90%;100%;Q;NG;V;2;7.14%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;2;WR;90%;100%;Q;NG;Q;25;89.29%;Q;Yes for intended;Yes for text;No for audio;Q
Laser;Q;2;WR;90%;100%;Q;NG;C;1;3.57%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;2;WR;90%;62.50%;Q;NG;V;4;17.39%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;2;WR;90%;62.50%;Q;NG;Q;16;69.57%;Q;Yes for intended;Yes for text;No for audio;Q
Chess;Q;2;WR;90%;62.50%;Q;NG;C;3;13.04%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;2;WR;100%;100%;Q;NG;V;4;15.38%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;2;WR;100%;100%;Q;NG;Q;22;84.62%;Q;Yes for intended;Yes for text;No for audio;Q
Requirements;Q;2;WR;100%;100%;Q;NG;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q
Consequences;Q;2;WR;75%;100.00%;Q;NG;V;13;50.00%;V and Q tied;Contested;Contested;No for audio;Q-Amb
Consequences;Q;2;WR;75%;100.00%;Q;NG;Q;13;50.00%;V and Q tied;Contested;Contested;No for audio;Q-Amb
Consequences;Q;2;WR;75%;100.00%;Q;NG;C;0;0.00%;V and Q tied;Contested;Contested;No for audio;Q-Amb
Nuances;Q;2;WR;75%;100%;Q;NG;V;8;40.00%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Nuances;Q;2;WR;75%;100%;Q;NG;Q;12;60.00%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Nuances;Q;2;WR;75%;100%;Q;NG;C;0;0.00%;Q;Yes for intended;Yes for text;No for audio;Q-Amb
Traditions;V;1;CR;85%;44.44%;V;N;V;18;62.07%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;1;CR;85%;44.44%;V;N;Q;9;31.03%;V;Yes for intended;Yes for text;No for audio;V
Traditions;V;1;CR;85%;44.44%;V;N;C;2;6.90%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;1;CR;100%;44%;V;VP;V;13;65.00%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;1;CR;100%;44%;V;VP;Q;6;30.00%;V;Yes for intended;Yes for text;No for audio;V
Realize;V;1;CR;100%;44%;V;VP;C;1;5.00%;V;Yes for intended;Yes for text;No for audio;V
New York;V;1;CR;65%;71%;Q;NEG;V;18;75.00%;V;Yes for intended;No for text;No for audio;Q-Amb
New York;V;1;CR;65%;71%;Q;NEG;Q;6;25.00%;V;Yes for intended;No for text;No for audio;Q-Amb
New York;V;1;CR;65%;71%;Q;NEG;C;0;0.00%;V;Yes for intended;No for text;No for audio;Q-Amb
Departure;V;1;CR;90%;44.44%;V;VP;V;17;68.00%;V;Yes for intended;Yes for text;No for audio;V
